Zipcode,State,State Cty,Tract,Tract GeoID,City Name,Zip Name,Population,Part PCT
94603,CA,6001,4091.0,6001409100,Alameda CA,"Oakland, CA",2472,0.0674
94603,CA,6001,4092.0,6001409200,Alameda CA,"Oakland, CA",3755,0.1024
94603,CA,6001,4093.0,6001409300,Alameda CA,"Oakland, CA",5701,0.1554
94603,CA,6001,4094.0,6001409400,Alameda CA,"Oakland, CA",5044,0.1375
94621,CA,6001,4094.0,6001409400,Alameda CA,"Oakland, CA",335,0.0094
94621,CA,6001,4095.0,6001409500,Alameda CA,"Oakland, CA",4390,0.1226
94603,CA,6001,4096.0,6001409600,Alameda CA,"Oakland, CA",1651,0.045
94621,CA,6001,4096.0,6001409600,Alameda CA,"Oakland, CA",4126,0.1152
94603,CA,6001,4097.0,6001409700,Alameda CA,"Oakland, CA",2384,0.065
94605,CA,6001,4097.0,6001409700,Alameda CA,"Oakland, CA",2159,0.0487
94621,CA,6001,4097.0,6001409700,Alameda CA,"Oakland, CA",980,0.0274
94605,CA,6001,4098.0,6001409800,Alameda CA,"Oakland, CA",3220,0.0727
94605,CA,6001,4099.0,6001409900,Alameda CA,"Oakland, CA",3546,0.0801
94605,CA,6001,4100.0,6001410000,Alameda CA,"Oakland, CA",3031,0.0684
94605,CA,6001,4101.0,6001410100,Alameda CA,"Oakland, CA",2925,0.066
94603,CA,6001,4102.0,6001410200,Alameda CA,"Oakland, CA",3406,0.0929
94605,CA,6001,4102.0,6001410200,Alameda CA,"Oakland, CA",273,0.0062
94603,CA,6001,4103.0,6001410300,Alameda CA,"Oakland, CA",4036,0.11
94603,CA,6001,4104.0,6001410400,Alameda CA,"Oakland, CA",4142,0.1129
94607,CA,6001,4105.0,6001410500,Alameda CA,"Oakland, CA",2553,0.0822
94706,CA,6001,4201.0,6001420100,Alameda CA,"Albany, CA",2436,0.1153
94706,CA,6001,4202.0,6001420200,Alameda CA,"Albany, CA",3234,0.153
94706,CA,6001,4203.01,6001420301,Alameda CA,"Albany, CA",2593,0.1227
94706,CA,6001,4203.02,6001420302,Alameda CA,"Albany, CA",2426,0.1148
94706,CA,6001,4204.01,6001420401,Alameda CA,"Albany, CA",1597,0.0756
94706,CA,6001,4204.02,6001420402,Alameda CA,"Albany, CA",2087,0.0988
94710,CA,6001,4204.02,6001420402,Alameda CA,"Berkeley, CA",68,0.0071
94706,CA,6001,4205.0,6001420500,Alameda CA,"Albany, CA",2431,0.115
94706,CA,6001,4206.0,6001420600,Alameda CA,"Albany, CA",3065,0.145
94707,CA,6001,4206.0,6001420600,Alameda CA,"Berkeley, CA",334,0.0261
94707,CA,6001,4211.0,6001421100,Alameda CA,"Berkeley, CA",161,0.0126
94708,CA,6001,4211.0,6001421100,Alameda CA,"Berkeley, CA",1870,0.1619
94707,CA,6001,4212.0,6001421200,Alameda CA,"Berkeley, CA",3449,0.2699
94708,CA,6001,4212.0,6001421200,Alameda CA,"Berkeley, CA",208,0.018
94706,CA,6001,4213.0,6001421300,Alameda CA,"Albany, CA",133,0.0063
94707,CA,6001,4213.0,6001421300,Alameda CA,"Berkeley, CA",3812,0.2983
94707,CA,6001,4214.0,6001421400,Alameda CA,"Berkeley, CA",1679,0.1314
94707,CA,6001,4215.0,6001421500,Alameda CA,"Berkeley, CA",158,0.0124
94708,CA,6001,4215.0,6001421500,Alameda CA,"Berkeley, CA",3587,0.3105
94708,CA,6001,4216.0,6001421600,Alameda CA,"Berkeley, CA",3500,0.303
94709,CA,6001,4216.0,6001421600,Alameda CA,"Berkeley, CA",336,0.0268
94709,CA,6001,4217.0,6001421700,Alameda CA,"Berkeley, CA",3386,0.2706
94702,CA,6001,4218.0,6001421800,Alameda CA,"Berkeley, CA",100,0.0057
94703,CA,6001,4218.0,6001421800,Alameda CA,"Berkeley, CA",1719,0.0826
94707,CA,6001,4218.0,6001421800,Alameda CA,"Berkeley, CA",43,0.0034
94709,CA,6001,4218.0,6001421800,Alameda CA,"Berkeley, CA",248,0.0198
94702,CA,6001,4219.0,6001421900,Alameda CA,"Berkeley, CA",2797,0.1586
94706,CA,6001,4219.0,6001421900,Alameda CA,"Albany, CA",1104,0.0522
94702,CA,6001,4220.0,6001422000,Alameda CA,"Berkeley, CA",134,0.0076
94710,CA,6001,4220.0,6001422000,Alameda CA,"Berkeley, CA",4026,0.4215
94702,CA,6001,4221.0,6001422100,Alameda CA,"Berkeley, CA",191,0.0108
94710,CA,6001,4221.0,6001422100,Alameda CA,"Berkeley, CA",2652,0.2776
94702,CA,6001,4222.0,6001422200,Alameda CA,"Berkeley, CA",3322,0.1884
94702,CA,6001,4223.0,6001422300,Alameda CA,"Berkeley, CA",62,0.0035
94703,CA,6001,4223.0,6001422300,Alameda CA,"Berkeley, CA",3596,0.1728
94709,CA,6001,4223.0,6001422300,Alameda CA,"Berkeley, CA",153,0.0122
94704,CA,6001,4224.0,6001422400,Alameda CA,"Berkeley, CA",675,0.0267
94709,CA,6001,4224.0,6001422400,Alameda CA,"Berkeley, CA",3459,0.2764
94708,CA,6001,4225.0,6001422500,Alameda CA,"Berkeley, CA",133,0.0115
94709,CA,6001,4225.0,6001422500,Alameda CA,"Berkeley, CA",4932,0.3941
94704,CA,6001,4227.0,6001422700,Alameda CA,"Berkeley, CA",4250,0.1683
94720,CA,6001,4227.0,6001422700,Alameda CA,"Berkeley, CA",618,0.0826
94704,CA,6001,4228.0,6001422800,Alameda CA,"Berkeley, CA",6517,0.258
94720,CA,6001,4228.0,6001422800,Alameda CA,"Berkeley, CA",4728,0.6323
94704,CA,6001,4229.01,6001422901,Alameda CA,"Berkeley, CA",2322,0.0919
94704,CA,6001,4229.02,6001422902,Alameda CA,"Berkeley, CA",3033,0.1201
94702,CA,6001,4230.0,6001423000,Alameda CA,"Berkeley, CA",316,0.0179
94703,CA,6001,4230.0,6001423000,Alameda CA,"Berkeley, CA",4248,0.2042
94704,CA,6001,4230.0,6001423000,Alameda CA,"Berkeley, CA",112,0.0044
94702,CA,6001,4231.0,6001423100,Alameda CA,"Berkeley, CA",4335,0.2458
94702,CA,6001,4232.0,6001423200,Alameda CA,"Berkeley, CA",80,0.0045
94710,CA,6001,4232.0,6001423200,Alameda CA,"Berkeley, CA",2806,0.2938
94702,CA,6001,4233.0,6001423300,Alameda CA,"Berkeley, CA",3738,0.2119
94702,CA,6001,4234.0,6001423400,Alameda CA,"Berkeley, CA",74,0.0042
94703,CA,6001,4234.0,6001423400,Alameda CA,"Berkeley, CA",4983,0.2395
94703,CA,6001,4235.0,6001423500,Alameda CA,"Berkeley, CA",1109,0.0533
94704,CA,6001,4235.0,6001423500,Alameda CA,"Berkeley, CA",1373,0.0544
94705,CA,6001,4235.0,6001423500,Alameda CA,"Berkeley, CA",992,0.073
94705,CA,6001,4236.01,6001423601,Alameda CA,"Berkeley, CA",2824,0.2078
94704,CA,6001,4236.02,6001423602,Alameda CA,"Berkeley, CA",5516,0.2184
94705,CA,6001,4236.02,6001423602,Alameda CA,"Berkeley, CA",99,0.0073
94704,CA,6001,4237.0,6001423700,Alameda CA,"Berkeley, CA",1314,0.052
94705,CA,6001,4237.0,6001423700,Alameda CA,"Berkeley, CA",1831,0.1347
94720,CA,6001,4237.0,6001423700,Alameda CA,"Berkeley, CA",1089,0.1456
94618,CA,6001,4238.0,6001423800,Alameda CA,"Oakland, CA",77,0.0045
94705,CA,6001,4238.0,6001423800,Alameda CA,"Berkeley, CA",3139,0.231
94703,CA,6001,4239.01,6001423901,Alameda CA,"Berkeley, CA",1004,0.0483
94705,CA,6001,4239.01,6001423901,Alameda CA,"Berkeley, CA",1027,0.0756
94705,CA,6001,4239.02,6001423902,Alameda CA,"Berkeley, CA",1464,0.1077
94703,CA,6001,4240.01,6001424001,Alameda CA,"Berkeley, CA",4146,0.1993
94702,CA,6001,4240.02,6001424002,Alameda CA,"Berkeley, CA",2488,0.1411
94608,CA,6001,4251.01,6001425101,Alameda CA,"Oakland, CA",1853,0.056
94608,CA,6001,4251.02,6001425102,Alameda CA,"Oakland, CA",3752,0.1134
94608,CA,6001,4251.03,6001425103,Alameda CA,"Oakland, CA",2926,0.0885
94608,CA,6001,4251.04,6001425104,Alameda CA,"Oakland, CA",4374,0.1323
94610,CA,6001,4261.0,6001426100,Alameda CA,"Oakland, CA",1414,0.0452
94611,CA,6001,4261.0,6001426100,Alameda CA,"Oakland, CA",4794,0.1191
94618,CA,6001,4261.0,6001426100,Alameda CA,"Oakland, CA",156,0.0092
94610,CA,6001,4262.0,6001426200,Alameda CA,"Oakland, CA",1208,0.0386
94611,CA,6001,4262.0,6001426200,Alameda CA,"Oakland, CA",3707,0.0921
94501,CA,6001,4271.0,6001427100,Alameda CA,"Alameda, CA",4063,0.0634
94501,CA,6001,4272.0,6001427200,Alameda CA,"Alameda, CA",4363,0.068
94501,CA,6001,4273.0,6001427300,Alameda CA,"Alameda, CA",5719,0.0892
94501,CA,6001,4276.0,6001427600,Alameda CA,"Alameda, CA",4730,0.0738
94501,CA,6001,4277.0,6001427700,Alameda CA,"Alameda, CA",5016,0.0782
94501,CA,6001,4278.0,6001427800,Alameda CA,"Alameda, CA",4827,0.0753
94501,CA,6001,4279.0,6001427900,Alameda CA,"Alameda, CA",4744,0.074
94501,CA,6001,4280.0,6001428000,Alameda CA,"Alameda, CA",2997,0.0467
94501,CA,6001,4281.0,6001428100,Alameda CA,"Alameda, CA",4880,0.0761
94501,CA,6001,4282.0,6001428200,Alameda CA,"Alameda, CA",6644,0.1036
94502,CA,6001,4283.01,6001428301,Alameda CA,"Alameda, CA",7044,0.4973
94502,CA,6001,4283.02,6001428302,Alameda CA,"Alameda, CA",7120,0.5027
94501,CA,6001,4284.0,6001428400,Alameda CA,"Alameda, CA",4645,0.0724
94501,CA,6001,4285.0,6001428500,Alameda CA,"Alameda, CA",3339,0.0521
94501,CA,6001,4286.0,6001428600,Alameda CA,"Alameda, CA",3398,0.053
94501,CA,6001,4287.0,6001428700,Alameda CA,"Alameda, CA",4751,0.0741
94552,CA,6001,4301.01,6001430101,Alameda CA,"Castro Valley, CA",6747,0.4583
94546,CA,6001,4301.02,6001430102,Alameda CA,"Castro Valley, CA",22,0.0005
94552,CA,6001,4301.02,6001430102,Alameda CA,"Castro Valley, CA",2485,0.1688
94619,CA,6001,4301.02,6001430102,Alameda CA,"Oakland, CA",46,0.0018
94546,CA,6001,4302.0,6001430200,Alameda CA,"Castro Valley, CA",5952,0.1275
94552,CA,6001,4302.0,6001430200,Alameda CA,"Castro Valley, CA",1525,0.1036
94546,CA,6001,4303.0,6001430300,Alameda CA,"Castro Valley, CA",3940,0.0844
94546,CA,6001,4304.0,6001430400,Alameda CA,"Castro Valley, CA",2183,0.0468
94577,CA,6001,4304.0,6001430400,Alameda CA,"San Leandro, CA",24,0.0005
94546,CA,6001,4305.0,6001430500,Alameda CA,"Castro Valley, CA",1668,0.0357
94578,CA,6001,4305.0,6001430500,Alameda CA,"San Leandro, CA",4621,0.1128
94546,CA,6001,4306.0,6001430600,Alameda CA,"Castro Valley, CA",5647,0.121
94578,CA,6001,4306.0,6001430600,Alameda CA,"San Leandro, CA",738,0.018
94546,CA,6001,4307.0,6001430700,Alameda CA,"Castro Valley, CA",4209,0.0902
94546,CA,6001,4308.0,6001430800,Alameda CA,"Castro Valley, CA",6165,0.132
94546,CA,6001,4309.0,6001430900,Alameda CA,"Castro Valley, CA",5137,0.11
94546,CA,6001,4310.0,6001431000,Alameda CA,"Castro Valley, CA",3091,0.0662
94546,CA,6001,4311.0,6001431100,Alameda CA,"Castro Valley, CA",3537,0.0758
94541,CA,6001,4312.0,6001431200,Alameda CA,"Hayward, CA",955,0.0137
94546,CA,6001,4312.0,6001431200,Alameda CA,"Castro Valley, CA",5136,0.11
94577,CA,6001,4321.0,6001432100,Alameda CA,"San Leandro, CA",4121,0.0843
94577,CA,6001,4322.0,6001432200,Alameda CA,"San Leandro, CA",4231,0.0866
94577,CA,6001,4323.0,6001432300,Alameda CA,"San Leandro, CA",4885,0.1
94577,CA,6001,4324.0,6001432400,Alameda CA,"San Leandro, CA",6279,0.1285
94577,CA,6001,4325.01,6001432501,Alameda CA,"San Leandro, CA",5161,0.1056
94577,CA,6001,4325.02,6001432502,Alameda CA,"San Leandro, CA",4641,0.095
94577,CA,6001,4326.01,6001432601,Alameda CA,"San Leandro, CA",4358,0.0892
94577,CA,6001,4326.02,6001432602,Alameda CA,"San Leandro, CA",3214,0.0658
94577,CA,6001,4327.0,6001432700,Alameda CA,"San Leandro, CA",2660,0.0544
94577,CA,6001,4328.0,6001432800,Alameda CA,"San Leandro, CA",2650,0.0542
94578,CA,6001,4328.0,6001432800,Alameda CA,"San Leandro, CA",1471,0.0359
94577,CA,6001,4330.0,6001433000,Alameda CA,"San Leandro, CA",988,0.0202
94578,CA,6001,4330.0,6001433000,Alameda CA,"San Leandro, CA",3190,0.0779
94578,CA,6001,4331.02,6001433102,Alameda CA,"San Leandro, CA",4124,0.1007
94578,CA,6001,4331.03,6001433103,Alameda CA,"San Leandro, CA",3682,0.0899
94577,CA,6001,4331.04,6001433104,Alameda CA,"San Leandro, CA",2333,0.0477
94578,CA,6001,4331.04,6001433104,Alameda CA,"San Leandro, CA",1792,0.0438
94577,CA,6001,4332.0,6001433200,Alameda CA,"San Leandro, CA",236,0.0048
94578,CA,6001,4332.0,6001433200,Alameda CA,"San Leandro, CA",7416,0.1811
94577,CA,6001,4333.0,6001433300,Alameda CA,"San Leandro, CA",33,0.0007
94579,CA,6001,4333.0,6001433300,Alameda CA,"San Leandro, CA",7415,0.3391
94577,CA,6001,4334.0,6001433400,Alameda CA,"San Leandro, CA",3054,0.0625
94579,CA,6001,4334.0,6001433400,Alameda CA,"San Leandro, CA",3590,0.1642
94579,CA,6001,4335.0,6001433500,Alameda CA,"San Leandro, CA",4557,0.2084
94579,CA,6001,4336.0,6001433600,Alameda CA,"San Leandro, CA",6307,0.2884
94541,CA,6001,4337.0,6001433700,Alameda CA,"Hayward, CA",1608,0.0231
94580,CA,6001,4337.0,6001433700,Alameda CA,"San Lorenzo, CA",1907,0.0644
94578,CA,6001,4338.01,6001433801,Alameda CA,"San Leandro, CA",3637,0.0888
